作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
蘿蔔(元/公斤),2017年,5.59,5.96,6.85,8,9.18,8.92,-,6.20,5.82,8.32,-,-,
白玉蘿蔔(元/公斤),2017年,-,-,-,-,-,-,-,13,12.83,-,-,-,
胡蘿蔔(元/公斤),2017年,16.95,8.03,7.04,6.67,9.33,12.67,13.33,-,-,11.67,-,-,
山藥(元/公斤),2017年,36.75,35,38.67,40,-,-,-,-,54.33,46,-,-,
牛蒡(元/公斤),2017年,-,-,22.5,22.67,-,-,-,-,-,-,-,-,
生薑(嫩薑)(元/公斤),2017年,-,-,-,-,53.83,41.5,39.83,42,40.50,38.17,-,-,
生薑(老薑粉薑)(元/公斤),2017年,25.56,29.22,33.1,34.89,36.03,46.67,40,50,39.33,35,-,-,
芋頭(元/公斤),2017年,36.71,39.49,40.5,40,41,35.67,30.33,30.68,32.32,32.42,-,-,
綠竹筍(元/公斤),2017年,-,-,-,139.17,143.47,91.11,100.55,85.53,77.07,85.25,-,-,
烏殼;綠竹筍(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
麻竹筍(元/公斤),2017年,25,35,40,40.83,40,40,17.58,29.58,29.58,28.17,-,-,
桂竹筍(生筍)(元/公斤 ),2017年,-,-,-,39.02,23.78,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2017年,-,-,-,-,31.67,37.75,-,-,-,-,-,-,
白蘆筍(元/公斤),2017年,-,-,-,170,113,101.83,121.33,136.33,137,113.67,-,-,
綠蘆筍(元/公斤),2017年,-,150,127.19,130,113.67,115.67,143.33,150,166.92,181.67,-,-,
茭白筍(帶殼)(元/公斤),2017年,-,86,68,57.33,52,71.67,80.67,73.33,50,61,-,-,
大芥菜(鮮食)(元/公斤),2017年,6.12,6.83,-,-,-,-,-,-,-,-,-,-,
馬鈴薯(食用)(元/公斤),2017年,19.33,16.96,18.39,20.87,21.5,23,23.83,23.83,23.67,19,-,-,
加工麻竹筍(元/公斤),2017年,-,-,-,-,-,29.55,17.58,15.02,14.42,-,-,-,
青蔥(元/公斤),2017年,33.16,30.11,21.76,17.32,15.91,27.08,52.96,96.30,114.65,85.10,-,-,
青蔥(北蔥)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
蔥頭(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
洋蔥(內銷)(元/公斤),2017年,13.25,12.25,15.2,15.75,19,20.33,20.38,-,-,-,-,-,
洋蔥(外銷)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
青蒜(元/公斤),2017年,91.05,75.01,57.18,81.33,-,-,-,-,-,-,-,-,
蒜頭(蒜球)(元/公斤),2017年,-,169,102.55,104.42,106.81,96.61,93.03,99.16,99.41,97.50,-,-,
荸薺(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
韭菜(元/公斤),2017年,31.34,37.67,36,20,14.61,29.44,29.22,30.67,46.67,59.34,-,-,
韭黃(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
蕹菜(空心菜)(元/公斤),2017年,32.39,36.13,27.72,19.26,20.03,44.57,22.46,23.07,21.67,32.90,-,-,
芹菜(土芹菜)(元/公斤),2017年,13.84,17.69,14.65,29.8,27,-,-,-,-,-,-,-,
甘藍(元/公斤),2017年,4.61,4.32,3.67,4.77,6.69,20.81,24.64,27.33,17.24,15.34,-,-,
甘藍芽(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
小白菜(元/公斤),2017年,8.75,18.75,11.58,10.25,15.45,41.34,20.51,26.25,19.17,21.74,-,-,
青江白菜(元/公斤),2017年,10.3,22.3,12.27,12.53,14.58,44.83,20.55,24.67,17,27.93,-,-,
結球白菜(元/ 公斤),2017年,5.27,6.57,7.17,5.87,9.59,17.46,17.31,19.64,19.22,15.14,-,-,
結球白菜(成功白)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
菠菜(元/公斤),2017年,12.32,13.06,11.84,16.81,-,51.1,69.8,87.93,74.13,58.83,-,-,
