年度,地區別,雜糧類別,種植面積,收穫面積,每公頃平均產量,產量,
2016,新北市,甘藷,351.34,351.34,20226.32,7106.316,
2016,台北市,甘藷,70.5,70.5,9390.2,662.009,
2016,台中市,甘藷,102.6,102.6,21081.34,2162.945,
2016,台南市,甘藷,836.85,836.85,20156.68,16868.115,
2016,高雄市,甘藷,1164.49,1163.39,26639.97,30992.676,
2016,宜蘭縣,甘藷,220.78,220.78,18092.64,3994.493,
2016,桃園縣,甘藷,69.76,69.76,19696.16,1374.004,
2016,新竹縣,甘藷,85.03,85.03,16325.41,1388.15,
2016,苗栗縣,甘藷,367.4,367.4,16516.98,6068.339,
2016,彰化縣,甘藷,1442.42,1426.62,30769.08,43895.784,
2016,南投縣,甘藷,51.4,51.4,17452.33,897.05,
2016,雲林縣,甘藷,4633.24,4633.24,23533.44,109036.055,
2016,嘉義縣,甘藷,337.2,337.2,20768.21,7003.042,
2016,屏東縣,甘藷,121.07,121.07,13713.17,1660.254,
2016,台東縣,甘藷,298.39,298.39,9424.03,2812.037,
2016,花蓮縣,甘藷,332.93,332.9,14405.02,4795.43,
2016,澎湖縣,甘藷,84.88,84.64,11359.32,961.453,
2016,基隆市,甘藷,0.06,0.06,10000,0.6,
2016,新竹市,甘藷,13.37,13.37,19490.88,260.593,
2016,嘉義市,甘藷,4.44,4.44,16085.59,71.42,
2016,金門縣,甘藷,1.04,1.04,18748.08,19.498,
2016,連江縣,甘藷,0,0,0,0,
2016,新北市,小麥,0,0,0,0,
2016,台北市,小麥,0,0,0,0,
2016,台中市,小麥,12.99,12.99,452.66,5.88,
2016,台南市,小麥,153.5,153.5,2281.01,350.135,
2016,高雄市,小麥,142.02,74.85,1298.65,97.204,
2016,宜蘭縣,小麥,0,0,0,0,
2016,桃園縣,小麥,0,0,0,0,
2016,新竹縣,小麥,1.3,1.3,600,0.78,
2016,苗栗縣,小麥,34.63,34.63,1598.18,55.345,
2016,彰化縣,小麥,195.99,195.99,3312.44,649.206,
2016,南投縣,小麥,0,0,0,0,
2016,雲林縣,小麥,12.76,12.76,1926.96,24.588,
2016,嘉義縣,小麥,72.11,72.11,2409.61,173.757,
2016,屏東縣,小麥,0,0,0,0,
2016,台東縣,小麥,14.9,14.9,1498.72,22.331,
2016,花蓮縣,小麥,3.08,3.08,1570.78,4.838,
2016,澎湖縣,小麥,0,0,0,0,
2016,基隆市,小麥,0,0,0,0,
2016,新竹市,小麥,0,0,0,0,
2016,嘉義市,小麥,0,0,0,0,
2016,金門縣,小麥,1768.66,1768.66,1274.62,2254.361,
2016,連江縣,小麥,0,0,0,0,
2016,新北市,飼料用玉蜀黍,0,0,0,0,
2016,台北市,飼料用玉蜀黍,0,0,0,0,
2016,台中市,飼料用玉蜀黍,2,2,5000,10,
2016,台南市,飼料用玉蜀黍,1.5,1.5,4600,6.9,
2016,高雄市,飼料用玉蜀黍,8148.68,8147.28,3983.17,32452.031,
2016,宜蘭縣,飼料用玉蜀黍,819.25,819.25,4371.61,3581.442,
2016,桃園縣,飼料用玉蜀黍,0,0,0,0,
2016,新竹縣,飼料用玉蜀黍,0,0,0,0,
2016,苗栗縣,飼料用玉蜀黍,0.9,0.9,4750,4.275,
2016,彰化縣,飼料用玉蜀黍,72.73,72.73,5897.99,428.961,
2016,南投縣,飼料用玉蜀黍,1.9,1.9,3605.26,6.85,
2016,雲林縣,飼料用玉蜀黍,935.36,935.36,4448.28,4160.747,
2016,嘉義縣,飼料用玉蜀黍,5384.08,5384.08,3939.53,21210.761,
2016,屏東縣,飼料用玉蜀黍,519.24,519.24,4314.84,2240.439,
2016,台東縣,飼料用玉蜀黍,41.92,41.92,5001.79,209.675,
2016,花蓮縣,飼料用玉蜀黍,227.49,219.03,3557.65,779.231,
2016,澎湖縣,飼料用玉蜀黍,0,0,0,0,
2016,基隆市,飼料用玉蜀黍,0,0,0,0,
2016,新竹市,飼料用玉蜀黍,0,0,0,0,
2016,嘉義市,飼料用玉蜀黍,2.18,2.18,IF(E65=0，0，G65/E65*1000),14.17,
2016,金門縣,飼料用玉蜀黍,0,0,0,0,
2016,連江縣,飼料用玉蜀黍,0,0,0,0,
2016,新北市,食用玉蜀黍,90.41,90.41,4028.82,364.246,
2016,台北市,食用玉蜀黍,6,6,4975.67,29.854,
2016,台中市,食用玉蜀黍,36.74,36.74,4662.41,171.297,
2016,台南市,食用玉蜀黍,241.26,241.26,5979.03,1442.501,
2016,高雄市,食用玉蜀黍,2104.45,2080.07,6917.66,14389.21,
2016,宜蘭縣,食用玉蜀黍,964.82,964.82,6045.36,5832.688,
2016,桃園縣,食用玉蜀黍,33.96,33.96,4759.36,161.628,
2016,新竹縣,食用玉蜀黍,102.35,102.35,7293.1,746.449,
2016,苗栗縣,食用玉蜀黍,309.56,309.56,7375.72,2283.227,
2016,彰化縣,食用玉蜀黍,734.4,734.4,6576.08,4829.471,
2016,南投縣,食用玉蜀黍,242.74,242.74,6891.33,1672.801,
2016,雲林縣,食用玉蜀黍,5551.52,5551.52,8336.53,46280.416,
2016,嘉義縣,食用玉蜀黍,1840.29,1840.29,6022,11082.234,
2016,屏東縣,食用玉蜀黍,823.86,823.86,5867.01,4833.594,
2016,台東縣,食用玉蜀黍,246.9,246.9,4987.81,1231.491,
2016,花蓮縣,食用玉蜀黍,820.66,818.66,4799.91,3929.498,
2016,澎湖縣,食用玉蜀黍,40.79,40.79,7365.16,300.425,
2016,基隆市,食用玉蜀黍,0.33,0.33,6369.7,2.102,
2016,新竹市,食用玉蜀黍,14.96,14.96,5100.67,76.306,
2016,嘉義市,食用玉蜀黍,12.8,12.8,6444.69,82.492,
2016,金門縣,食用玉蜀黍,1.16,1.16,6897.41,8.001,
2016,連江縣,食用玉蜀黍,0,0,0,0,
2016,新北市,粟,0,0,0,0,
2016,台北市,粟,0,0,0,0,
2016,台中市,粟,0.05,0.05,2500,0.125,
2016,台南市,粟,0,0,0,0,
2016,高雄市,粟,0.17,0.17,1700,0.289,
2016,宜蘭縣,粟,4.01,4.01,2400.25,9.625,
2016,桃園縣,粟,0,0,0,0,
2016,新竹縣,粟,0,0,0,0,
2016,苗栗縣,粟,1.6,1.6,1600,2.56,
2016,彰化縣,粟,0,0,0,0,
2016,南投縣,粟,0,0,0,0,
2016,雲林縣,粟,0.8,0.8,2000,1.6,
2016,嘉義縣,粟,0,0,0,0,
2016,屏東縣,粟,67.26,67.26,1610.47,108.32,
2016,台東縣,粟,195,195,1523.23,297.029,
2016,花蓮縣,粟,0,0,0,0,
2016,澎湖縣,粟,0,0,0,0,
2016,基隆市,粟,0,0,0,0,
2016,新竹市,粟,0,0,0,0,
2016,嘉義市,粟,0,0,0,0,
2016,金門縣,粟,0,0,0,0,
2016,連江縣,粟,0,0,0,0,
2016,新北市,蜀黍,0,0,0,0,
2016,台北市,蜀黍,0,0,0,0,
2016,台中市,蜀黍,0,0,0,0,
2016,台南市,蜀黍,0.53,0.53,2786.79,1.477,
2016,高雄市,蜀黍,1.9,1.9,2947.37,5.6,
2016,宜蘭縣,蜀黍,0.1,0.1,2400,0.24,
2016,桃園縣,蜀黍,0.06,0.06,1000,0.06,
2016,新竹縣,蜀黍,1.6,1.6,4000,6.4,
2016,苗栗縣,蜀黍,26,26,4000,104,
2016,彰化縣,蜀黍,0.47,0.47,1872.34,0.88,
2016,南投縣,蜀黍,0,0,0,0,
2016,雲林縣,蜀黍,2.65,2.65,3569.81,9.46,
2016,嘉義縣,蜀黍,0.43,0.43,3500,1.505,
2016,屏東縣,蜀黍,2.65,2.65,2169.43,5.749,
2016,台東縣,蜀黍,10.81,10.81,1254.3,13.559,
2016,花蓮縣,蜀黍,10.3,10.3,3500,36.05,
2016,澎湖縣,蜀黍,0.16,0.16,2100,0.336,
2016,基隆市,蜀黍,0,0,0,0,
2016,新竹市,蜀黍,0,0,0,0,
2016,嘉義市,蜀黍,0,0,0,0,
2016,金門縣,蜀黍,1969.07,1969.07,709.07,1396.218,
2016,連江縣,蜀黍,0,0,0,0,
2016,新北市,其他糧食作物,0,0,0,0,
2016,台北市,其他糧食作物,0,0,0,0,
2016,台中市,其他糧食作物,2.15,2.15,1199.53,2.579,
2016,台南市,其他糧食作物,44.25,44.25,1909.65,84.502,
2016,高雄市,其他糧食作物,18.21,18.21,1921.03,34.982,
2016,宜蘭縣,其他糧食作物,16.74,16.74,931.9,15.6,
2016,桃園縣,其他糧食作物,0.36,0.36,3275,1.179,
2016,新竹縣,其他糧食作物,5,5,980,4.9,
2016,苗栗縣,其他糧食作物,8.12,8.12,1761.08,14.3,
2016,彰化縣,其他糧食作物,154.03,154.03,2291.64,352.982,
2016,南投縣,其他糧食作物,6.25,6.25,2379.2,14.87,
2016,雲林縣,其他糧食作物,39.43,39.43,1776.82,70.06,
2016,嘉義縣,其他糧食作物,75.2,75.2,2130.93,160.246,
2016,屏東縣,其他糧食作物,82.82,82.82,1619.1,134.094,
2016,台東縣,其他糧食作物,83.65,83.65,1162.3,97.226,
2016,花蓮縣,其他糧食作物,9.56,9.56,2378.97,22.743,
2016,澎湖縣,其他糧食作物,0,0,0,0,
2016,基隆市,其他糧食作物,0,0,0,0,
2016,新竹市,其他糧食作物,0,0,0,0,
2016,嘉義市,其他糧食作物,0,0,0,0,
2016,金門縣,其他糧食作物,0,0,0,0,
2016,連江縣,其他糧食作物,0,0,0,0,
2016,新北市,大豆,0,0,0,0,
2016,台北市,大豆,0,0,0,0,
2016,台中市,大豆,115.49,115.49,995.8,115.005,
2016,台南市,大豆,109.99,109.99,1915.08,210.64,
2016,高雄市,大豆,359.27,287.8,1515.59,436.186,
2016,宜蘭縣,大豆,130.01,130.01,1507.58,196,
2016,桃園縣,大豆,1.68,1.68,1607.74,2.701,
2016,新竹縣,大豆,1.3,1.3,1700,2.21,
2016,苗栗縣,大豆,126.48,126.48,835.37,105.658,
2016,彰化縣,大豆,128.46,128.46,1461.57,187.753,
2016,南投縣,大豆,0.52,0.52,1480.77,0.77,
2016,雲林縣,大豆,333.06,333.06,1648.91,549.186,
2016,嘉義縣,大豆,423.82,423.82,1376.61,583.433,
2016,屏東縣,大豆,354.86,354.86,1520.53,539.576,
2016,台東縣,大豆,0.99,0.99,1105.05,1.094,
2016,花蓮縣,大豆,89.8,89.8,1445.72,129.826,
2016,澎湖縣,大豆,0,0,0,0,
2016,基隆市,大豆,0,0,0,0,
2016,新竹市,大豆,1,1,1200,1.2,
2016,嘉義市,大豆,0,0,0,0,
2016,金門縣,大豆,0,0,0,0,
2016,連江縣,大豆,0,0,0,0,
2016,新北市,花豆,0,0,0,0,
2016,台北市,花豆,0,0,0,0,
2016,台中市,花豆,0.08,0.08,1000,0.08,
2016,台南市,花豆,0.1,0.1,1200,0.12,
2016,高雄市,花豆,0.25,0.25,2400,0.6,
2016,宜蘭縣,花豆,0.16,0.16,2500,0.4,
2016,桃園縣,花豆,0,0,0,0,
2016,新竹縣,花豆,0,0,0,0,
2016,苗栗縣,花豆,0,0,0,0,
2016,彰化縣,花豆,1.61,1.61,1772.67,2.854,
2016,南投縣,花豆,0,0,0,0,
2016,雲林縣,花豆,1.48,1.48,2424.32,3.588,
2016,嘉義縣,花豆,0.6,0.6,1920,1.152,
2016,屏東縣,花豆,0.17,0.17,2658.82,0.452,
2016,台東縣,花豆,1.2,1.2,1005,1.206,
2016,花蓮縣,花豆,0.02,0.02,1800,0.036,
2016,澎湖縣,花豆,0,0,0,0,
2016,基隆市,花豆,0,0,0,0,
2016,新竹市,花豆,0,0,0,0,
2016,嘉義市,花豆,0,0,0,0,
2016,金門縣,花豆,0,0,0,0,
2016,連江縣,花豆,0,0,0,0,
2016,新北市,綠豆,0,0,0,0,
2016,台北市,綠豆,0,0,0,0,
2016,台中市,綠豆,0,0,0,0,
2016,台南市,綠豆,0.2,0.2,980,0.196,
2016,高雄市,綠豆,60.53,60.32,1009.55,60.896,
2016,宜蘭縣,綠豆,48.03,48.03,1446.16,69.459,
2016,桃園縣,綠豆,0,0,0,0,
2016,新竹縣,綠豆,0,0,0,0,
2016,苗栗縣,綠豆,0,0,0,0,
2016,彰化縣,綠豆,0.49,0.49,1212.24,0.594,
2016,南投縣,綠豆,0,0,0,0,
2016,雲林縣,綠豆,2.09,2.09,1033.01,2.159,
2016,嘉義縣,綠豆,61.14,61.14,851.14,52.039,
2016,屏東縣,綠豆,0,0,0,0,
2016,台東縣,綠豆,1.3,1.3,938.46,1.22,
2016,花蓮縣,綠豆,0.45,0.45,833.33,0.375,
2016,澎湖縣,綠豆,0,0,0,0,
2016,基隆市,綠豆,0,0,0,0,
2016,新竹市,綠豆,0,0,0,0,
2016,嘉義市,綠豆,0,0,0,0,
2016,金門縣,綠豆,0,0,0,0,
2016,連江縣,綠豆,0,0,0,0,
2016,新北市,紅豆,0,0,0,0,
2016,台北市,紅豆,0,0,0,0,
2016,台中市,紅豆,0,0,0,0,
2016,台南市,紅豆,3.7,3.7,1280,4.736,
2016,高雄市,紅豆,26.75,23.28,1908.25,44.424,
2016,宜蘭縣,紅豆,1588.39,1588.39,1657.67,2633.02,
2016,桃園縣,紅豆,0,0,0,0,
2016,新竹縣,紅豆,0.1,0.1,1800,0.18,
2016,苗栗縣,紅豆,0,0,0,0,
2016,彰化縣,紅豆,0.04,0.04,1000,0.04,
2016,南投縣,紅豆,0.02,0.02,1000,0.02,
2016,雲林縣,紅豆,0.93,0.82,1258.54,1.032,
2016,嘉義縣,紅豆,24.81,24.81,1816.93,45.078,
2016,屏東縣,紅豆,4658.93,4658.63,1988.11,9261.86,
2016,台東縣,紅豆,0,0,0,0,
2016,花蓮縣,紅豆,1.4,1.4,1000,1.4,
2016,澎湖縣,紅豆,0,0,0,0,
2016,基隆市,紅豆,0,0,0,0,
2016,新竹市,紅豆,0,0,0,0,
2016,嘉義市,紅豆,0,0,0,0,
2016,金門縣,紅豆,0,0,0,0,
2016,連江縣,紅豆,0,0,0,0,
2016,新北市,落花生,32.08,32.08,1667.02,53.478,
2016,台北市,落花生,0,0,0,0,
2016,台中市,落花生,5.77,5.77,1837.78,10.604,
2016,台南市,落花生,360.09,360.09,2587.24,931.641,
2016,高雄市,落花生,416.79,416.79,2336.38,973.78,
2016,宜蘭縣,落花生,197.19,197.19,2405.26,474.294,
2016,桃園縣,落花生,99.46,99.46,2786.57,277.152,
2016,新竹縣,落花生,10.4,10.4,2468.75,25.675,
2016,苗栗縣,落花生,96.17,96.17,1802.51,173.347,
2016,彰化縣,落花生,3133.14,3132.74,2162.22,6773.675,
2016,南投縣,落花生,12.75,12.75,2091.53,26.667,
2016,雲林縣,落花生,15851.04,15851.04,3133.99,49677.026,
2016,嘉義縣,落花生,418.01,418.01,2318.16,969.016,
2016,屏東縣,落花生,144.96,144.96,2439.13,353.576,
2016,台東縣,落花生,44.44,44.44,1495.43,66.457,
2016,花蓮縣,落花生,437.32,437.32,1915.74,837.79,
2016,澎湖縣,落花生,152.83,152.83,1118.12,170.883,
2016,基隆市,落花生,0.05,0.05,1200,0.06,
2016,新竹市,落花生,2.83,2.83,2168.2,6.136,
2016,嘉義市,落花生,0.77,0.77,4048.05,3.117,
2016,金門縣,落花生,14.2,14.2,1934.79,27.474,
2016,連江縣,落花生,0,0,0,0,
2016,新北市,其他豆類,0,0,0,0,
2016,台北市,其他豆類,0,0,0,0,
2016,台中市,其他豆類,1.47,1.47,1900,2.793,
2016,台南市,其他豆類,0.7,0.7,1424.29,0.997,
2016,高雄市,其他豆類,139.98,135.45,1118.38,151.485,
2016,宜蘭縣,其他豆類,20.85,20.85,2280.24,47.543,
2016,桃園縣,其他豆類,8.63,8.63,1763.73,15.221,
2016,新竹縣,其他豆類,23,23,1473.74,33.896,
2016,苗栗縣,其他豆類,0.37,0.37,1810.81,0.67,
2016,彰化縣,其他豆類,7.01,7.01,1740.51,12.201,
2016,南投縣,其他豆類,0.9,0.9,1844.44,1.66,
2016,雲林縣,其他豆類,25.83,25.83,1760.39,45.471,
2016,嘉義縣,其他豆類,2.2,2.2,1227.27,2.7,
2016,屏東縣,其他豆類,21.52,21.52,1681.09,36.177,
2016,台東縣,其他豆類,65.04,65.04,1584.44,103.052,
2016,花蓮縣,其他豆類,22.42,22.42,1506.51,33.776,
2016,澎湖縣,其他豆類,0,0,0,0,
2016,基隆市,其他豆類,0,0,0,0,
2016,新竹市,其他豆類,0,0,0,0,
2016,嘉義市,其他豆類,0,0,0,0,
2016,金門縣,其他豆類,0,0,0,0,
2016,連江縣,其他豆類,0,0,0,0,
2015,新北市,甘藷,411.67,411.67,17732.3,7299.855,
2015,台北市,甘藷,72.01,72.01,9435.11,679.422,
2015,桃園市,甘藷,61.1,61.1,20321.6,1241.65,
2015,台中市,甘藷,822.79,822.79,19963.27,16425.581,
2015,台南市,甘藷,1299.04,1299.04,28679.3,37255.564,
2015,高雄市,甘藷,222.91,222.91,18347.89,4089.928,
2015,宜蘭縣,甘藷,69.97,69.69,18995.91,1323.825,
2015,新竹縣,甘藷,80.76,80.76,15926.18,1286.198,
2015,苗栗縣,甘藷,359.12,359.12,18213.23,6540.735,
2015,彰化縣,甘藷,1319.34,1319.34,31728.44,41860.595,
2015,南投縣,甘藷,68.4,68.4,18237.87,1247.47,
2015,雲林縣,甘藷,3808.27,3808.27,24025.9,91497.108,
2015,嘉義縣,甘藷,411.71,411.71,22693.96,9343.332,
2015,屏東縣,甘藷,160.32,160.28,14870.2,2383.395,
2015,台東縣,甘藷,280.68,280.68,9608.51,2696.917,
2015,花蓮縣,甘藷,251.21,250.01,15012.85,3753.363,
2015,澎湖縣,甘藷,90.42,90.31,11443.2,1033.435,
2015,基隆市,甘藷,1.49,1.49,10151.01,15.125,
2015, 新竹市,甘藷,12.09,12.09,17165.92,207.536,
2015,嘉義市,甘藷,5.66,5.66,18173.32,102.861,
2015,金門縣,甘藷,10.15,10.15,19420.99,197.123,
2015,連江縣,甘藷,0,0,0,0,
2015,新北市,小麥,0,0,0,0,
2015,台北市,小麥,0,0,0,0,
2015,桃園市,小麥,23.17,23.17,1569.18,36.358,
2015,台中市,小麥,147.3,147.3,3030.59,446.406,
2015,台南市,小麥,103.99,103.99,1972.93,205.165,
2015,高雄市,小麥,0.6,0.6,2000,1.2,
2015,宜蘭縣,小麥,0,0,0,0,
2015,新竹縣,小麥,0.84,0.84,2500,2.1,
2015,苗栗縣,小麥,11.86,11.86,2300,27.278,
2015,彰化縣,小麥,135.1,135.1,3753.9,507.152,
2015,南投縣,小麥,0,0,0,0,
2015,雲林縣,小麥,0.3,0.3,1900,0.57,
2015,嘉義縣,小麥,56.15,56.15,3878.15,217.758,
2015,屏東縣,小麥,0.5,0.5,2100,1.05,
2015,台東縣,小麥,16.3,16.3,1480.98,24.14,
2015,花蓮縣,小麥,4.9,4.9,1500,7.35,
2015,澎湖縣,小麥,0,0,0,0,
2015,基隆市,小麥,0,0,0,0,
2015, 新竹市,小麥,0,0,0,0,
2015,嘉義市,小麥,0,0,0,0,
2015,金門縣,小麥,2615.3,2615.3,2239.97,5858.2,
2015,連江縣,小麥,0,0,0,0,
2015,新北市,飼料用玉蜀黍,0,0,0,0,
2015,台北市,飼料用玉蜀黍,0,0,0,0,
2015,桃園市,飼料用玉蜀黍,0,0,0,0,
2015,台中市,飼料用玉蜀黍,0.7,0.7,4485.71,3.14,
2015,台南市,飼料用玉蜀黍,7807.58,7807.58,4581.68,35771.795,
2015,高雄市,飼料用玉蜀黍,10.3,10.3,4000,41.2,
2015,宜蘭縣,飼料用玉蜀黍,0,0,0,0,
2015,新竹縣,飼料用玉蜀黍,0,0,0,0,
2015,苗栗縣,飼料用玉蜀黍,0.2,0.2,6000,1.2,
2015,彰化縣,飼料用玉蜀黍,74.22,74.22,5631.03,417.935,
2015,南投縣,飼料用玉蜀黍,0,0,0,0,
2015,雲林縣,飼料用玉蜀黍,753.97,753.97,4656.34,3510.741,
2015,嘉義縣,飼料用玉蜀黍,6229.55,6229.55,4481.32,27916.594,
2015,屏東縣,飼料用玉蜀黍,27.77,27.77,5442.28,151.132,
2015,台東縣,飼料用玉蜀黍,32.8,32.8,5646.34,185.2,
2015,花蓮縣,飼料用玉蜀黍,197.88,197.28,3523.9,695.195,
2015,澎湖縣,飼料用玉蜀黍,0,0,0,0,
2015,基隆市,飼料用玉蜀黍,0,0,0,0,
2015, 新竹市,飼料用玉蜀黍,0,0,0,0,
2015,嘉義市,飼料用玉蜀黍,0,0,0,0,
2015,金門縣,飼料用玉蜀黍,0,0,0,0,
2015,連江縣,飼料用玉蜀黍,0,0,0,0,
2015,新北市,食用玉蜀黍,92.66,92.66,3978.06,368.607,
2015,台北市,食用玉蜀黍,5.57,5.57,5046.68,28.11,
2015,桃園市,食用玉蜀黍,29.01,29.01,5079.66,147.361,
2015,台中市,食用玉蜀黍,206.78,206.78,6074.93,1256.174,
2015,台南市,食用玉蜀黍,1715.65,1715.65,7825.01,13424.979,
2015,高雄市,食用玉蜀黍,874.13,874.13,6198.11,5417.95,
2015,宜蘭縣,食用玉蜀黍,28.25,27.95,4589.66,128.281,
2015,新竹縣,食用玉蜀黍,76.8,76.8,6946.81,533.515,
2015,苗栗縣,食用玉蜀黍,377.82,377.82,7575.57,2862.202,
