交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量,
106.12.11,rest,休市,104,台北二,0,0,0,0,0,
106.12.11,FA001,康乃馨-混合色,105,台北市場,36,36,36,36,30,
106.12.11,FA800,康乃馨-多朵(混色),105,台北市場,40,37,24,35,372,
106.12.11,FA810,康乃馨-多朵紅,105,台北市場,20,18,16,18.2,54,
106.12.11,FA811,康乃馨-多朵櫻紅,105,台北市場,25,25,25,25,38,
106.12.11,FA840,康乃馨-多朵粉,105,台北市場,50,45,40,44.9,74,
106.12.11,FA860,康乃馨-多朵白,105,台北市場,42,42,42,42,30,
106.12.11,FA900,小可愛-(混色),105,台北市場,31,31,31,31,40,
106.12.11,FA910,小可愛-紅,105,台北市場,34,34,34,34,120,
106.12.11,FA985,美女撫子-綠石竹,105,台北市場,134,98,62,98.1,262,
106.12.11,FB000,火鶴花-火鶴花,105,台北市場,13,12,10,11.8,107,
106.12.11,FB104,火鶴花-小耳朵,105,台北市場,0,0,0,0,0,
106.12.11,FB106,火鶴花-丘比特,105,台北市場,17,16,9,14.6,1677,
106.12.11,FB111,火鶴花-月光,105,台北市場,14,11,7,11.2,304,
106.12.11,FB302,火鶴花-黃瑪莉,105,台北市場,18,11,7,11.6,333,
106.12.11,FB407,火鶴花-夢幻,105,台北市場,7,7,7,7,34,
106.12.11,FB415,火鶴花-羅莎,105,台北市場,15,10,5,10.2,313,
106.12.11,FB419,火鶴花-太極,105,台北市場,15,11,5,10.5,131,
106.12.11,FB420,火鶴花-小紅莓,105,台北市場,5,5,5,5,104,
106.12.11,FB425,火鶴花-吉祥,105,台北市場,10,10,10,10,50,
106.12.11,FB500,火鶴花-翠綠,105,台北市場,16,12,6,11.4,270,
106.12.11,FB504,火鶴花-雷夢娜,105,台北市場,9,8,6,7.5,99,
106.12.11,FB509,火鶴花-森林,105,台北市場,17,17,16,16.7,120,
106.12.11,FB601,火鶴花-白青心,105,台北市場,7,7,6,6.7,145,
106.12.11,FB805,火鶴花-黑珍珠,105,台北市場,16,14,11,13.5,185,
106.12.11,FC000,大菊-大菊,105,台北市場,113,61,41,67.4,253,
106.12.11,FC100,大菊-紅,105,台北市場,50,50,50,50,40,
