年度,地區別,洋菇_種植面積,洋菇_收穫面積,洋菇_每平方公尺產量,洋菇_產量,段木香菇_栽培數量,段木香菇_每公噸產量,段木香菇_產量,太空包香菇,太空包香菇_每萬包產量,太空包香菇_產量,
2016,新北市,-,-,-,-,444,12,5,5,260,1,
2016,台北市,-,-,-,-,-,-,-,-,-,-,
2016,台中市,-,-,-,-,250,25,6,1,300,0,
2016,台南市,28,28,13,374,11,14,0,12706,221,2814,
2016,高雄市,118,118,15,1788,-,-,-,500,300,150,
2016,宜蘭縣,9,9,11,95,365,20,7,31,189,6,
2016,桃園縣,-,-,-,-,1600,22,35,-,-,-,
2016,新竹縣,-,-,-,-,3973,32,126,45,240,11,
2016,苗栗縣,16,16,13,196,80,31,2,3,250,1,
2016,彰化縣,76,76,7,572,-,-,-,267,287,77,
2016,南投縣,100,100,16,1595,1681,18,30,11179,222,2476,
2016,雲林縣,11,11,14,153,-,-,-,104,250,26,
2016,嘉義縣,-,-,-,-,-,-,-,-,-,-,
2016,屏東縣,15,15,13,186,165,23,4,38,300,11,
2016,台東縣,-,-,-,-,-,-,-,-,-,-,
2016,花蓮縣,-,-,-,-,-,-,-,-,-,-,
2016,澎湖縣,-,-,-,-,-,-,-,-,-,-,
2016,基隆市,-,-,-,-,-,-,-,-,-,-,
2016,新竹市,-,-,-,-,-,-,-,-,-,-,
2016,嘉義市,-,-,-,-,-,-,-,-,-,-,
2016,金門縣,-,-,-,-,-,-,-,-,-,-,
2016,連江縣,-,-,-,-,-,-,-,-,-,-,
2015,新北市,0,0,0,0,444,10.3806306306306,4.609,5,260,1.3,
2015,台北市,0,0,0,0,0,0,0,0,0,0,
2015,桃園市,0,0,0,0,120,25,3,1.2,250,0.3,
2015,台中市,26.409075,26.409075,13.10553285187,346.105,0,0,0,10500,211.447619047619,2220.2,
2015,台南市,111.499575,111.499575,15.1515196358372,1689.388,0,0,0,100,300,30,
2015,高雄市,8.98425,8.98425,10.6062275649053,95.289,165,22,3.63,20.2,178.316831683168,3.602,
2015,宜蘭縣,0,0,0,0,2000,25,50,3,160,0.48,
2015,新竹縣,7.92,7.92,9.84848484848485,78,6550,25.6259541984733,167.85,45,240,10.8,
2015,苗栗縣,7.227,7.227,14.6741386467414,106.05,50,32.2,1.61,2.5,250,0.625,
2015,彰化縣,74.72685,74.72685,7.4169190859778,554.243,0,0,0,263.5,282.011385199241,74.31,
2015,南投縣,103.5111,103.5111,16.4345949371613,1701.163,1675,17.7868656716418,29.793,11531.7,215.516792840605,2485.275,
2015,雲林縣,3.993,3.993,15.1515151515152,60.5,0,0,0,109,250,27.25,
2015,嘉義縣,0,0,0,0,0,0,0,0,0,0,
2015,屏東縣,14.85,14.85,12.7272727272727,189,150,22,3.3,0,0,0,
2015,台東縣,0,0,0,0,0,0,0,0,0,0,
2015,花蓮縣,0,0,0,0,40,20,0.8,0,0,0,
2015,澎湖縣,0,0,0,0,0,0,0,0,0,0,
2015,基隆市,0,0,0,0,0,0,0,0,0,0,
2015,新竹市,0,0,0,0,0,0,0,0,0,0,
2015,嘉義市,0,0,0,0,0,0,0,0,0,0,
2015,金門縣,0,0,0,0,0,0,0,0,0,0,
2015,連江縣,0,0,0,0,0,0,0,0,0,0,
2014,新北市,-,-,-,-,474,10,5,5,260,1,
2014,台北市,-,-,-,-,-,-,-,-,-,-,
2014,台中市,39,39,13,499,-,-,-,10407,202,2098,
2014,台南市,33,33,15,495,-,-,-,168,300,50,
2014,高雄市,9,9,11,95,-,-,-,20,202,4,
2014,宜蘭縣,-,-,-,-,9,14,0,-,-,-,
2014,桃園縣,-,-,-,-,120,25,3,1,250,0,
2014,新竹縣,14,14,9,126,3973,31,124,45,300,14,
2014,苗栗縣,18,18,15,279,50,20,1,-,-,-,
2014,彰化縣,55,55,6,343,-,-,-,259,300,77,
