name,pt_date_day,pt_1japt,pt_1tsait,pt_1sangt,pt_1glutrt,pt_1glutlt,pt_2japt,pt_2tsait,pt_2sangt,pt_2glutrt,pt_2glutlt,
基隆市  ,106.12.11,43.88,47.50,0.00,52.74,52.86,3860,4250,0,4607,4655,
台北市  ,106.12.11,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.11,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.11,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.11,41.77,44.76,0.00,48.96,48.61,3402,3820,0,4155,3950,
新竹縣  ,106.12.11,39.58,44.00,0.00,49.38,50.00,3306,3938,0,4272,4250,
苗栗縣  ,106.12.11,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.11,41.61,47.92,46.66,50.00,50.24,3194,3868,4055,4095,4028,
彰化縣  ,106.12.11,38.30,43.06,43.06,47.96,46.73,3229,4060,3921,4027,3831,
南投縣  ,106.12.11,39.60,44.05,44.45,50.00,49.82,3530,0,4000,4167,3750,
雲林縣  ,106.12.11,39.20,43.37,0.00,44.71,45.62,3267,3889,0,3904,3752,
嘉義市  ,106.12.11,39.85,0.00,0.00,47.47,46.67,3203,0,0,4017,3743,
嘉義縣  ,106.12.11,38.96,0.00,0.00,46.16,45.58,3165,0,0,3972,3722,
台南市  ,106.12.11,41.30,48.33,46.67,52.50,51.50,3270,3542,4000,4014,3786,
高雄市  ,106.12.11,40.13,0.00,45.32,47.83,47.83,3329,0,0,4237,4196,
屏東縣  ,106.12.11,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.11,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.11,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4333,
台東縣  ,106.12.11,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.11,41.87,0.00,0.00,51.67,51.67,3315,0,0,0,0,
基隆市  ,106.12.8,43.88,47.50,0.00,52.97,53.09,3860,4250,0,4607,4655,
台北市  ,106.12.8,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.8,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.8,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.8,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.12.8,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.12.8,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.8,41.61,47.92,46.66,50.00,50.24,3194,3868,4055,4095,4028,
彰化縣  ,106.12.8,38.30,43.06,43.06,47.96,46.73,3229,4060,3921,4027,3831,
南投縣  ,106.12.8,39.60,44.05,44.45,50.00,49.82,3530,0,4000,4167,3750,
雲林縣  ,106.12.8,39.20,43.37,0.00,44.71,45.62,3269,3889,0,3904,3752,
嘉義市  ,106.12.8,39.85,0.00,0.00,47.47,46.67,3203,0,0,4017,3743,
嘉義縣  ,106.12.8,38.96,0.00,0.00,46.16,45.58,3165,0,0,3972,3722,
台南市  ,106.12.8,41.30,48.33,46.67,53.33,52.13,3270,3542,4000,4014,3786,
高雄市  ,106.12.8,40.13,0.00,45.32,47.83,47.83,3329,0,0,4237,4196,
屏東縣  ,106.12.8,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.8,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.8,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4333,
台東縣  ,106.12.8,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.8,41.87,0.00,0.00,51.67,51.67,3315,0,0,0,0,
基隆市  ,106.12.7,43.88,47.28,0.00,52.97,53.09,3860,4195,0,4607,4643,
台北市  ,106.12.7,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.7,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.7,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.7,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
