年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量,
2016,新北市,蘿蔔,93,93,30040,2800,
2016,台北市,蘿蔔,58,58,9036,527,
2016,桃園市,蘿蔔,19,19,19783,374,
2016,台中市,蘿蔔,73,73,28746,2106,
2016,台南市,蘿蔔,232,231,43963,10171,
2016,高雄市,蘿蔔,383,383,27761,10631,
2016,宜蘭縣,蘿蔔,30,30,29547,890,
2016,新竹縣,蘿蔔,57,57,17181,981,
2016,苗栗縣,蘿蔔,106,106,20218,2147,
2016,彰化縣,蘿蔔,353,353,36513,12882,
2016,南投縣,蘿蔔,102,102,19086,1941,
2016,雲林縣,蘿蔔,826,826,41013,33868,
2016,嘉義縣,蘿蔔,182,182,37438,6814,
2016,屏東縣,蘿蔔,24,24,17210,419,
2016,台東縣,蘿蔔,52,52,19667,1024,
2016,花蓮縣,蘿蔔,32,32,15000,475,
2016,澎湖縣,蘿蔔,6,6,9637,54,
2016,基隆市,蘿蔔,1,1,9951,12,
2016,新竹市,蘿蔔,3,3,20219,53,
2016,嘉義市,蘿蔔,-,-,-,-,
2016,金門縣,蘿蔔,1,1,25603,28,
2016,連江縣,蘿蔔,-,-,-,-,
2016,新北市,胡蘿蔔,6,6,16921,96,
2016,台北市,胡蘿蔔,12,12,11770,141,
2016,桃園市,胡蘿蔔,0,0,17000,1,
2016,台中市,胡蘿蔔,1,1,23333,32,
2016,台南市,胡蘿蔔,602,598,48958,29262,
2016,高雄市,胡蘿蔔,26,26,27840,722,
2016,宜蘭縣,胡蘿蔔,2,2,16226,34,
2016,新竹縣,胡蘿蔔,5,5,12563,66,
2016,苗栗縣,胡蘿蔔,1,1,14898,17,
2016,彰化縣,胡蘿蔔,668,668,31973,21344,
2016,南投縣,胡蘿蔔,2,2,35000,53,
2016,雲林縣,胡蘿蔔,1125,1125,41795,47022,
2016,嘉義縣,胡蘿蔔,1,1,27912,25,
2016,屏東縣,胡蘿蔔,1,1,15020,14,
2016,台東縣,胡蘿蔔,0,0,13903,4,
2016,花蓮縣,胡蘿蔔,2,2,15648,37,
2016,澎湖縣,胡蘿蔔,10,10,10346,101,
2016,基隆市,胡蘿蔔,-,-,-,-,
2016,新竹市,胡蘿蔔,0,0,20222,7,
2016,嘉義市,胡蘿蔔,-,-,-,-,
2016,金門縣,胡蘿蔔,0,0,24922,9,
2016,連江縣,胡蘿蔔,-,-,-,-,
2016,新北市,其他根菜類,1,1,15083,8,
2016,台北市,其他根菜類,-,-,-,-,
2016,桃園市,其他根菜類,0,0,17702,8,
2016,台中市,其他根菜類,0,0,18350,6,
2016,台南市,其他根菜類,40,40,15623,628,
2016,高雄市,其他根菜類,122,122,18865,2294,
2016,宜蘭縣,其他根菜類,0,0,18571,7,
2016,新竹縣,其他根菜類,1,1,10000,7,
2016,苗栗縣,其他根菜類,-,-,-,-,
2016,彰化縣,其他根菜類,8,8,18524,144,
2016,南投縣,其他根菜類,0,0,22000,2,
2016,雲林縣,其他根菜類,179,179,25856,4637,
2016,嘉義縣,其他根菜類,210,210,20187,4244,
2016,屏東縣,其他根菜類,135,135,19648,2657,
2016,台東縣,其他根菜類,-,-,-,-,
2016,花蓮縣,其他根菜類,16,16,10448,169,
2016,澎湖縣,其他根菜類,-,-,-,-,
2016,基隆市,其他根菜類,-,-,-,-,
2016,新竹市,其他根菜類,0,0,12300,1,
2016,嘉義市,其他根菜類,-,-,-,-,
2016,金門縣,其他根菜類,-,-,-,-,
2016,連江縣,其他根菜類,-,-,-,-,
2016,新北市,薑,13,13,18235,244,
2016,台北市,薑,2,2,8500,18,
2016,桃園市,薑,6,6,40588,242,
2016,台中市,薑,77,77,18584,1432,
2016,台南市,薑,3,3,21977,58,
2016,高雄市,薑,33,33,19845,658,
2016,宜蘭縣,薑,63,63,27521,1746,
2016,新竹縣,薑,36,36,17553,626,
2016,苗栗縣,薑,109,109,20435,2232,
2016,彰化縣,薑,2,2,17941,27,
2016,南投縣,薑,195,195,24558,4789,
2016,雲林縣,薑,5,5,24991,136,
2016,嘉義縣,薑,22,22,38522,865,
2016,屏東縣,薑,10,10,16847,161,
2016,台東縣,薑,404,404,23982,9700,
2016,花蓮縣,薑,28,28,16621,465,
2016,澎湖縣,薑,-,-,-,-,
2016,基隆市,薑,-,-,-,-,
2016,新竹市,薑,-,-,-,-,
2016,嘉義市,薑,1,1,16000,16,
2016,金門縣,薑,0,0,21100,0,
2016,連江縣,薑,-,-,-,-,
2016,新北市,芋,82,82,12516,1029,
2016,台北市,芋,3,3,11540,40,
2016,桃園市,芋,7,7,13958,96,
2016,台中市,芋,833,833,16762,13961,
2016,台南市,芋,73,73,20725,1507,
2016,高雄市,芋,69,69,13027,894,
2016,宜蘭縣,芋,23,23,15827,361,
2016,新竹縣,芋,17,17,17491,301,
2016,苗栗縣,芋,589,589,16117,9492,
2016,彰化縣,芋,23,23,21230,479,
2016,南投縣,芋,21,21,12225,253,
2016,雲林縣,芋,80,80,19803,1590,
2016,嘉義縣,芋,56,56,15908,892,
2016,屏東縣,芋,456,456,16198,7378,
2016,台東縣,芋,139,139,6854,952,
2016,花蓮縣,芋,181,181,16193,2927,
2016,澎湖縣,芋,0,0,6168,1,
2016,基隆市,芋,0,0,9923,4,
2016,新竹市,芋,4,4,12285,50,
2016,嘉義市,芋,1,1,14657,15,
2016,金門縣,芋,18,18,27061,492,
2016,連江縣,芋,-,-,-,-,
2016,新北市,馬鈴薯,0,0,20000,1,
2016,台北市,馬鈴薯,-,-,-,-,
2016,桃園市,馬鈴薯,-,-,-,-,
2016,台中市,馬鈴薯,593,593,25019,14844,
2016,台南市,馬鈴薯,104,104,20842,2160,
2016,高雄市,馬鈴薯,0,0,12000,1,
2016,宜蘭縣,馬鈴薯,-,-,-,-,
2016,新竹縣,馬鈴薯,-,-,-,-,
2016,苗栗縣,馬鈴薯,7,7,17500,117,
2016,彰化縣,馬鈴薯,20,20,19533,399,
2016,南投縣,馬鈴薯,1,1,15000,8,
2016,雲林縣,馬鈴薯,1320,1320,20448,26991,
2016,嘉義縣,馬鈴薯,668,668,19961,13336,
2016,屏東縣,馬鈴薯,-,-,-,-,
2016,台東縣,馬鈴薯,-,-,-,-,
2016,花蓮縣,馬鈴薯,2,2,15000,24,
2016,澎湖縣,馬鈴薯,-,-,-,-,
2016,基隆市,馬鈴薯,-,-,-,-,
2016,新竹市,馬鈴薯,-,-,-,-,
2016,嘉義市,馬鈴薯,8,8,15500,124,
2016,金門縣,馬鈴薯,1,1,17600,19,
2016,連江縣,馬鈴薯,-,-,-,-,
2016,新北市,蔥,84,84,12227,1026,
2016,台北市,蔥,14,14,12626,174,
2016,桃園市,蔥,30,30,16495,503,
2016,台中市,蔥,124,124,19200,2377,
2016,台南市,蔥,33,33,15924,523,
2016,高雄市,蔥,133,133,14353,1902,
2016,宜蘭縣,蔥,651,651,20257,13183,
2016,新竹縣,蔥,48,48,15881,766,
2016,苗栗縣,蔥,61,61,11926,728,
2016,彰化縣,蔥,1901,1901,24748,47055,
2016,南投縣,蔥,10,10,12593,126,
2016,雲林縣,蔥,1451,1451,20160,29258,
2016,嘉義縣,蔥,82,82,14765,1204,
2016,屏東縣,蔥,52,52,14866,780,
2016,台東縣,蔥,25,25,13875,342,
2016,花蓮縣,蔥,81,81,12158,982,
2016,澎湖縣,蔥,24,24,7865,189,
2016,基隆市,蔥,1,1,9492,11,
2016,新竹市,蔥,5,5,16223,76,
2016,嘉義市,蔥,0,0,13500,5,
2016,金門縣,蔥,1,1,18058,17,
2016,連江縣,蔥,-,-,-,-,
2016,新北市,蔥頭,-,-,-,-,
2016,台北市,蔥頭,-,-,-,-,
2016,桃園市,蔥頭,-,-,-,-,
2016,台中市,蔥頭,-,-,-,-,
2016,台南市,蔥頭,1113,1064,7910,8414,
2016,高雄市,蔥頭,0,0,9000,2,
2016,宜蘭縣,蔥頭,-,-,-,-,
2016,新竹縣,蔥頭,0,0,10500,0,
2016,苗栗縣,蔥頭,-,-,-,-,
2016,彰化縣,蔥頭,1,1,10360,9,
2016,南投縣,蔥頭,-,-,-,-,
2016,雲林縣,蔥頭,52,52,9554,493,
2016,嘉義縣,蔥頭,77,77,11167,854,
2016,屏東縣,蔥頭,-,-,-,-,
2016,台東縣,蔥頭,-,-,-,-,
2016,花蓮縣,蔥頭,-,-,-,-,
2016,澎湖縣,蔥頭,-,-,-,-,
2016,基隆市,蔥頭,-,-,-,-,
2016,新竹市,蔥頭,-,-,-,-,
2016,嘉義市,蔥頭,-,-,-,-,
2016,金門縣,蔥頭,-,-,-,-,
2016,連江縣,蔥頭,-,-,-,-,
2016,新北市,洋蔥,-,-,-,-,
2016,台北市,洋蔥,-,-,-,-,
2016,桃園市,洋蔥,-,-,-,-,
2016,台中市,洋蔥,0,0,40000,8,
2016,台南市,洋蔥,6,6,34294,209,
2016,高雄市,洋蔥,83,83,41521,3432,
2016,宜蘭縣,洋蔥,-,-,-,-,
2016,新竹縣,洋蔥,-,-,-,-,
2016,苗栗縣,洋蔥,-,-,-,-,
2016,彰化縣,洋蔥,301,301,37535,11313,
2016,南投縣,洋蔥,-,-,-,-,
2016,雲林縣,洋蔥,302,302,37300,11276,
2016,嘉義縣,洋蔥,142,142,54789,7769,
2016,屏東縣,洋蔥,477,477,53158,25365,
2016,台東縣,洋蔥,26,26,41039,1051,
2016,花蓮縣,洋蔥,-,-,-,-,
2016,澎湖縣,洋蔥,-,-,-,-,
2016,基隆市,洋蔥,-,-,-,-,
2016,新竹市,洋蔥,-,-,-,-,
2016,嘉義市,洋蔥,-,-,-,-,
2016,金門縣,洋蔥,-,-,-,-,
2016,連江縣,洋蔥,-,-,-,-,
2016,新北市,韭菜,24,24,12972,316,
2016,台北市,韭菜,0,0,4882,1,
2016,桃園市,韭菜,77,77,30099,2323,
2016,台中市,韭菜,19,19,10682,198,
2016,台南市,韭菜,1,1,10166,12,
2016,高雄市,韭菜,12,12,18119,218,
2016,宜蘭縣,韭菜,33,33,13319,442,
2016,新竹縣,韭菜,10,10,13674,134,
2016,苗栗縣,韭菜,4,4,15383,55,
2016,彰化縣,韭菜,467,467,38876,18141,
2016,南投縣,韭菜,1,1,18065,11,
2016,雲林縣,韭菜,3,3,15579,44,
2016,嘉義縣,韭菜,0,0,5500,2,
2016,屏東縣,韭菜,14,14,9707,137,
2016,台東縣,韭菜,2,2,17297,40,
2016,花蓮縣,韭菜,60,60,16107,973,
2016,澎湖縣,韭菜,0,0,7000,0,
2016,基隆市,韭菜,1,1,10000,6,
2016,新竹市,韭菜,0,0,12330,1,
2016,嘉義市,韭菜,-,-,-,-,
2016,金門縣,韭菜,0,0,11000,0,
2016,連江縣,韭菜,-,-,-,-,
2016,新北市,蒜,19,19,12694,245,
2016,台北市,蒜,1,1,6174,6,
2016,桃園市,蒜,4,4,15276,56,
2016,台中市,蒜,3,3,15323,39,
2016,台南市,蒜,0,-,-,-,
2016,高雄市,蒜,0,0,16889,3,
2016,宜蘭縣,蒜,153,153,19903,3050,
2016,新竹縣,蒜,11,11,13441,145,
2016,苗栗縣,蒜,16,16,11970,194,
2016,彰化縣,蒜,75,75,12629,944,
2016,南投縣,蒜,92,92,17156,1575,
2016,雲林縣,蒜,169,169,19162,3242,
2016,嘉義縣,蒜,6,6,15475,90,
2016,屏東縣,蒜,0,0,15625,1,
2016,台東縣,蒜,7,7,21008,149,
2016,花蓮縣,蒜,2,2,9193,21,
2016,澎湖縣,蒜,3,3,10377,28,
2016,基隆市,蒜,0,0,9700,0,
2016,新竹市,蒜,1,1,13000,7,
2016,嘉義市,蒜,-,-,-,-,
2016,金門縣,蒜,2,2,21001,33,
2016,連江縣,蒜,-,-,-,-,
2016,新北市,蒜頭,-,-,-,-,
2016,台北市,蒜頭,2,2,5195,8,
2016,桃園市,蒜頭,-,-,-,-,
2016,台中市,蒜頭,0,0,5316,1,
2016,台南市,蒜頭,193,193,6200,1198,
2016,高雄市,蒜頭,-,-,-,-,
2016,宜蘭縣,蒜頭,-,-,-,-,
2016,新竹縣,蒜頭,-,-,-,-,
2016,苗栗縣,蒜頭,0,0,6122,1,
2016,彰化縣,蒜頭,117,117,7779,907,
2016,南投縣,蒜頭,-,-,-,-,
2016,雲林縣,蒜頭,3963,3963,8139,32252,
2016,嘉義縣,蒜頭,32,32,8893,288,
2016,屏東縣,蒜頭,-,-,-,-,
2016,台東縣,蒜頭,1,1,6000,8,
2016,花蓮縣,蒜頭,-,-,-,-,
2016,澎湖縣,蒜頭,-,-,-,-,
2016,基隆市,蒜頭,0,0,9500,0,
2016,新竹市,蒜頭,-,-,-,-,
2016,嘉義市,蒜頭,-,-,-,-,
2016,金門縣,蒜頭,1,1,5084,5,
2016,連江縣,蒜頭,-,-,-,-,
2016,新北市,荸薺,-,-,-,-,
2016,台北市,荸薺,-,-,-,-,
